IRSAD Decile,Value 
1 (most disadvantaged), 66.14705882352942
2, 47.8235294117647
3, 37.94117647058824
4, 38.14705882352941
5, 36.08823529411765
6, 29.911764705882355
7, 22.911764705882355
8, 23.94117647058824
9, 26.82352941176471
10 (least disadvantaged), 13.852941176470585
Unknown, 9.73529411764706
