Age,Value
25-29, 6.924528301886799
30-34, 7.943396226415099
35-39, 8.9622641509434
40-44, 6.018867924528301
45-49, 15.981132075471702
50-54, 31.037735849056602
55-59, 26.056603773584907
60-64, 41
65-69, 36.132075471698116
70-74, 23.113207547169807
75-79, 46.094339622641506
80-84, 38.16981132075472
85+, 59.11320754716981
